Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA
SP1,18/02/2007,Osasuna,Celta,0,1,A,0,1,A,20,7,3,3,24,15,10,3,1,2,0,1,1.9,3.25,4,1.75,3.4,4.25,1.9,3.3,4,1.8,3.1,4.2,1.66,3.3,4.5,1.83,3.25,4,1.8,3.1,4,1.7,3.4,4.5,1.8,3.25,3.75,46,1.91,1.82,3.4,3.25,4.5,4.12
SP1,18/02/2007,Recreativo,Sociedad,1,0,H,0,0,D,10,13,5,3,17,22,7,5,5,3,0,0,1.9,3.25,4,1.8,3.3,4.1,1.95,3.2,4,1.75,3.2,4.3,1.72,3.2,4.33,1.85,3.4,3.75,1.8,3.1,4,1.91,3.2,3.75,1.8,3.25,3.75,46,2,1.84,3.4,3.24,4.5,4.04
SP1,18/02/2007,Santander,Gimnastic,4,1,H,0,0,D,15,7,6,2,20,18,4,2,1,1,0,0,1.66,3.4,5.5,1.65,3.45,4.85,1.65,3.5,5.25,1.6,3.5,5,1.61,3.5,4.5,1.62,3.5,5,1.57,3.3,5.5,1.57,3.4,6,1.6,3.25,5,47,1.7,1.64,3.5,3.39,6,5.11
SP1,18/02/2007,Sevilla,Ath Madrid,3,1,H,2,0,H,8,17,5,9,16,17,5,4,3,4,1,0,1.9,3.2,4,1.85,3.3,3.85,1.95,3.2,4,1.85,3.1,4,1.8,3.2,4,1.85,3.2,4,1.83,3.2,3.75,2,3.2,3.5,1.8,3.25,3.75,44,2,1.89,3.3,3.22,4.2,3.86
SP1,18/02/2007,Valencia,Barcelona,2,1,H,0,0,D,6,13,3,3,19,11,2,6,3,5,1,1,2.75,3.2,2.5,2.7,3.15,2.4,2.6,3.2,2.6,2.7,3,2.5,2.6,3.2,2.37,2.6,3.2,2.5,2.62,2.9,2.5,2.5,3.2,2.6,2.6,3.1,2.35,43,2.85,2.66,3.22,3.14,2.63,2.48
SP1,24/02/2007,Ath Madrid,Real Madrid,1,1,D,1,0,H,21,6,7,3,15,28,11,3,2,5,0,1,2.6,3.3,2.37,2.7,3.2,2.4,2.75,3.2,2.5,2.55,3.1,2.55,2.5,3,2.6,2.7,3.2,2.4,2.6,2.8,2.6,2.75,3.2,2.38,2.5,3.2,2.4,45,2.75,2.65,3.3,3.13,2.7,2.5
SP1,24/02/2007,Sociedad,La Coruna,0,1,A,0,1,A,18,5,3,1,14,23,4,3,1,3,0,0,2.5,3,2.62,2.45,3.15,2.65,2.5,3.2,2.75,2.6,3,2.6,2.5,2.88,2.62,2.5,3.2,2.6,2.5,3.1,2.5,2.3,3.2,2.8,2.35,3.25,2.5,47,2.63,2.5,3.25,3.11,2.85,2.65
SP1,25/02/2007,Barcelona,Ath Bilbao,3,0,H,3,0,H,15,5,8,1,13,20,9,0,0,1,0,0,1.28,4.33,9,1.28,4.65,9.5,1.3,4.75,10,1.27,4.4,10,1.29,4.33,9,1.28,4.75,9,1.25,4.5,10,1.25,5,10,1.3,4.5,7.5,46,1.35,1.28,5,4.67,11,9.49
SP1,25/02/2007,Betis,Recreativo,0,0,D,0,0,D,19,6,8,0,20,22,5,2,2,3,0,0,2.1,3.2,3.1,2.05,3.2,3.3,2.05,3.25,3.5,2,3.1,3.4,2,3,3.5,2.2,3.2,3,1.95,3.1,3.5,2,3.2,3.5,1.9,3.25,3.4,46,2.15,2.06,3.27,3.18,3.65,3.37
SP1,25/02/2007,Celta,Santander,2,2,D,2,0,H,5,8,4,4,4,11,3,5,0,2,0,0,2.3,2.87,3,2.3,3.1,2.9,2.25,3.2,3.1,2.2,2.9,3.2,2.2,3.2,2.8,2.3,3.1,2.9,2.2,3.1,2.87,2.3,3.2,2.8,2.25,3.1,2.8,47,2.3,2.22,3.25,3.14,3.53,3.03
SP1,25/02/2007,Getafe,Sevilla,0,0,D,0,0,D,13,12,5,4,20,21,6,8,4,2,0,0,2.75,3.2,2.3,2.5,3.15,2.6,2.75,3.2,2.5,2.6,3,2.6,2.88,3,2.25,2.62,3.1,2.5,2.75,3.1,2.3,2.6,3.2,2.5,2.35,3.25,2.5,47,2.9,2.68,3.25,3.13,2.6,2.46
SP1,25/02/2007,Gimnastic,Valencia,1,1,D,0,0,D,10,11,3,4,21,21,7,7,6,2,0,0,4.75,3.75,1.57,7.25,3.65,1.45,6,3.5,1.6,5.2,3.4,1.6,5.5,3.5,1.53,6,3.5,1.53,5,3.5,1.57,5.5,3.3,1.62,5,3.5,1.55,46,6.25,5.69,3.75,3.51,1.62,1.56
SP1,25/02/2007,Levante,Zaragoza,0,0,D,0,0,D,11,8,3,2,13,11,10,3,1,2,1,0,2.75,3.2,2.3,2.7,3.15,2.4,2.75,3.2,2.5,2.6,3.1,2.5,2.5,2.88,2.62,2.62,3.1,2.5,2.5,3.1,2.5,2.8,3.2,2.3,2.5,3.25,2.35,47,3.1,2.7,3.3,3.13,2.62,2.45
SP1,25/02/2007,Osasuna,Espanol,0,2,A,0,1,A,13,7,2,5,20,18,11,5,3,2,0,1,2.25,3,3,2.1,3.15,3.25,2.15,3.2,3.3,2.1,3.1,3.2,2.1,3.2,3,2.2,3.2,3,2.1,3.1,3.1,2.1,3.2,3.2,2.1,3.2,3,47,2.3,2.14,3.3,3.16,3.45,3.16
SP1,25/02/2007,Villarreal,Mallorca,2,1,H,1,1,D,17,12,6,6,19,21,5,2,4,4,0,0,1.83,3.3,3.75,1.95,3.2,3.6,1.95,3.25,3.9,2,3.1,3.4,1.91,3,3.75,1.91,3.2,3.75,1.9,3.1,3.6,1.91,3.2,3.75,2,3.2,3.2,47,2.05,1.94,3.3,3.21,3.9,3.66
SP1,03/03/2007,Sevilla,Barcelona,2,1,H,1,1,D,14,9,6,5,19,20,5,2,2,2,1,2,2.6,3.1,2.7,2.55,3.2,2.5,2.6,3.2,2.6,2.5,3,2.7,2.37,3,2.75,2.5,3.1,2.62,2.37,3.1,2.62,2.5,3.2,2.6,2.4,3.1,2.6,45,2.65,2.51,3.21,3.12,2.8,2.66
SP1,03/03/2007,Valencia,Celta,1,0,H,0,0,D,5,15,3,4,16,17,4,5,6,2,0,0,1.44,4,7.5,1.35,4.2,8,1.44,4,7.5,1.4,3.7,7.5,1.4,3.75,7,1.44,3.75,7,1.36,4,7,1.4,3.75,8.5,1.35,4,7,44,1.55,1.42,4.04,3.82,9,7.54
SP1,04/03/2007,Ath Bilbao,Gimnastic,0,2,A,0,1,A,20,4,3,2,15,22,9,0,1,1,0,1,1.66,3.4,5.5,1.6,3.45,5.35,1.7,3.4,5,1.6,3.4,5.2,1.72,3.2,4.33,1.67,3.4,4.75,1.61,3.3,5,1.7,3.2,5,1.65,3.25,5.5,45,1.75,1.67,3.55,3.34,5.8,4.95
SP1,04/03/2007,Espanol,Villarreal,1,1,D,1,0,H,11,20,3,8,14,12,4,7,2,1,0,0,2.1,3.2,3.5,2.1,3.1,3.3,2.1,3.2,3.4,2,3,3.6,1.9,3.2,3.5,2.1,3.2,3.2,2,3.1,3.3,2,3.2,3.5,2,3.2,3.25,45,2.25,2.09,3.25,3.15,3.6,3.32
SP1,04/03/2007,La Coruna,Betis,0,1,A,0,0,D,12,16,1,3,14,11,5,1,3,2,0,0,2.1,3.2,3.5,2,3.15,3.5,2.1,3.15,3.4,2,3,3.6,2,3,3.5,2,3.2,3.5,2,3.1,3.3,2,3.2,3.5,2.1,3,3.25,45,2.25,2.09,3.25,3.13,3.75,3.35
SP1,04/03/2007,Mallorca,Levante,3,1,H,0,0,D,20,7,9,1,19,25,3,1,4,3,0,0,2.1,3.2,3.5,2,3.2,3.45,2.05,3.25,3.5,2.1,3,3.3,2.1,3.2,3,2,3.2,3.5,2.1,3.1,3.1,2.05,3,3.6,2.1,3.2,3,45,2.2,2.06,3.25,3.16,3.85,3.38
SP1,04/03/2007,Real Madrid,Getafe,1,1,D,1,1,D,22,12,8,2,18,21,7,3,4,3,0,0,1.66,3.4,5.5,1.55,3.5,5.75,1.6,3.5,5.75,1.55,3.4,5.8,1.53,3.5,5.5,1.57,3.5,5.5,1.57,3.3,5.5,1.57,3.4,6,1.55,3.4,5.5,43,1.77,1.61,3.55,3.42,6,5.46
SP1,04/03/2007,Recreativo,Ath Madrid,1,0,H,1,0,H,4,14,1,3,20,18,1,9,1,2,0,0,2.62,3.2,2.6,2.55,3.15,2.55,2.6,3.2,2.6,2.55,3.1,2.55,2.37,3.2,2.6,2.62,3.1,2.5,2.5,3.1,2.5,2.5,3.2,2.6,2.5,3.1,2.5,42,2.72,2.58,3.25,3.14,2.7,2.56
SP1,04/03/2007,Santander,Osasuna,1,0,H,0,0,D,12,8,7,0,20,25,5,4,2,4,0,0,2.2,3.2,3.25,2.15,3.15,3.15,2.15,3.2,3.3,2.3,3.1,2.8,2,3,3.5,2.1,3.1,3.3,2,3.1,3.3,2.1,3.2,3.2,2,3.2,3.25,44,2.3,2.14,3.25,3.16,3.4,3.21
SP1,04/03/2007,Zaragoza,Sociedad,3,2,H,0,1,A,24,9,6,5,15,16,9,6,1,2,0,0,1.53,3.6,6.5,1.48,3.6,6.75,1.52,3.6,6.75,1.45,3.6,7,1.44,3.6,6.5,1.53,3.75,5.5,1.44,3.6,6.5,1.44,3.6,7.5,1.5,3.5,6,44,1.58,1.5,3.95,3.61,7.5,6.47
SP1,10/03/2007,Barcelona,Real Madrid,3,3,D,2,2,D,18,13,9,7,23,23,2,3,3,5,1,0,1.72,3.5,4.75,1.75,3.35,4.75,1.8,3.3,4.5,1.75,3.2,4.3,1.8,3.2,4,1.75,3.25,4.5,1.8,3.25,3.8,1.67,3.4,4.75,1.7,3.3,4.35,47,1.95,1.78,3.5,3.26,5.5,4.43
SP1,10/03/2007,Levante,Villarreal,0,2,A,0,1,A,17,13,6,6,26,24,7,1,2,3,0,0,2.4,3.2,2.87,2.35,3.1,2.85,2.4,3.2,2.9,2.3,3,2.9,2.25,3,2.9,2.38,3.1,2.8,2.37,3,2.7,2.2,3,3.2,2.4,3.1,2.6,48,2.55,2.39,3.2,3.08,3,2.81
SP1,11/03/2007,Ath Madrid,La Coruna,2,0,H,1,0,H,15,15,5,5,19,16,7,5,0,1,0,0,1.9,3.25,4,1.7,3.3,4.75,1.85,3.3,4.25,1.8,3.1,4.2,1.8,2.9,4.5,1.91,3.2,3.75,1.83,3,4,1.83,3.2,4.2,1.8,3.25,4,47,1.98,1.84,3.35,3.21,4.65,4.16
SP1,11/03/2007,Betis,Zaragoza,1,1,D,1,1,D,14,9,4,2,20,15,7,2,2,5,1,0,2.4,3.2,2.87,2.4,3.1,2.75,2.4,3.2,2.85,2.4,3.1,2.7,2.25,3,2.87,2.38,3.1,2.8,2.37,3,2.7,2.3,3.2,2.8,,,,47,2.5,2.35,3.2,3.1,3.15,2.87
SP1,11/03/2007,Celta,Ath Bilbao,1,1,D,1,0,H,15,8,6,4,20,25,4,4,0,3,1,0,2.15,3.2,3.3,2.15,3.1,3.2,2.15,3.2,3.3,2.1,3.1,3.2,2,3.2,3.2,2.2,3.1,3.1,2.25,3.1,2.8,2.1,3,3.4,2.1,3.2,3,47,2.25,2.14,3.25,3.14,3.45,3.2
SP1,11/03/2007,Getafe,Recreativo,1,1,D,1,1,D,12,18,3,7,21,14,8,6,2,3,0,0,2,3.2,3.75,1.95,3.2,3.6,1.95,3.25,3.8,2,3,3.6,1.9,3.2,3.5,2,3.2,3.5,2,3.1,3.3,1.91,3.2,3.75,2,3.2,3.25,48,2.1,1.98,3.3,3.18,4.15,3.59
SP1,11/03/2007,Gimnastic,Sevilla,1,0,H,0,0,D,9,13,3,6,21,16,7,9,2,3,0,0,6,3.8,1.53,6,3.45,1.55,5.75,3.6,1.6,5.2,3.4,1.6,6,3.4,1.5,6,3.5,1.53,6,3.3,1.53,5.5,3.4,1.6,5,3.5,1.55,47,6.4,5.78,3.8,3.53,1.63,1.56
